weight,frequency
1,432769
2,104165
3,27279
4,14718
5,4758
6,6996
7,2646
8,5625
9,1502
10,1739
11,977
12,2249
13,2159
14,1666
15,753
16,770
17,207
18,427
19,249
20,483
21,276
22,762
23,174
24,533
25,137
26,331
27,161
28,168
29,33
30,620
31,273
32,130
33,92
34,74
35,46
36,188
37,32
38,54
39,105
40,241
41,23
42,117
43,33
44,186
45,79
46,31
47,11
48,175
49,540
50,166
51,84
52,26
53,20
54,23
55,16
56,64
57,35
58,6
59,8
60,709
61,3
62,416
63,9
64,93
65,6
66,154
67,8
68,68
69,63
70,30
71,14
72,68
73,7
74,15
75,195
76,21
77,5
78,60
79,7
80,68
81,6
82,20
83,6
84,31
85,8
86,41
87,8
88,49
90,74
91,5
92,9
93,8
94,9
95,1
96,38
97,3
98,16
99,3
100,68
101,13
102,7
103,1
104,39
105,11
106,3
107,1
108,45
110,10
111,2
112,5
113,1
114,81
115,2
116,4
117,10
118,12
119,4
120,50
121,15
122,11
124,44
125,17
126,6
127,8
128,8
129,9
130,8
131,54
132,29
133,2
134,7
135,8
136,16
138,19
140,2
141,19
142,6
143,1
144,5
145,1
147,5
148,1
150,264
151,1
152,17
153,8
154,12
155,5
156,10
158,9
160,10
162,4
164,2
165,6
166,4
167,4
168,18
170,2
171,5
172,1
174,3
175,2
176,15
180,4
182,2
184,3
186,19
190,4
191,1
192,2
194,2
195,4
198,5
199,1
200,9
204,8
205,86
206,6
207,1
208,7
210,17
212,6
214,2
215,1
216,20
217,1
222,13
226,2
227,2
228,34
230,2
231,1
234,20
238,11
240,18
241,2
242,9
244,2
248,8
250,2
253,4
259,1
262,8
265,1
270,3
271,1
273,2
276,3
278,5
279,1
282,4
285,1
286,3
297,1
302,2
305,5
306,4
308,11
310,2
312,2
316,2
320,3
322,4
326,4
330,2
334,3
341,2
342,2
344,2
350,1
351,4
355,1
360,4
368,2
372,8
374,4
378,1
380,2
394,1
398,1
400,5
407,4
410,172
414,2
416,2
420,7
429,1
432,4
434,2
454,4
465,8
466,3
473,1
476,6
480,4
482,4
489,1
506,5
529,1
542,2
558,2
572,2
594,2
600,31
606,1
607,1
610,4
620,4
624,4
629,45
630,1
652,2
668,2
682,6
698,13
700,2
702,2
744,4
748,4
788,2
803,2
806,3
841,4
858,2
908,2
952,2
960,2
976,1
978,2
1039,3
1041,2
1214,2
1258,3
1260,2
1279,1
1364,4
1396,4
1534,4
1612,1
1682,2
1762,1
1809,1
2002,1
2004,6
2010,1
2024,3
2070,1
2078,4
3618,2
3655,4
3673,4
3741,1
3773,1
7310,2
7346,2
8500,3
8585,1
54648,3
54864,1
248775,6
249240,2
